metric,value
model,Qwen/Qwen3-4B-AWQ
backend,vllm
endpoint,/v1/completions
prompts,64
request_rate,inf
max_concurrency_reached,64
duration_s,7.99
completed,64
failed,0
total_input_tokens,8192
total_output_tokens,4096
request_throughput_req_s,8.01
output_throughput_tok_s,512.73
peak_output_throughput_tok_s,960.0
total_token_throughput_tok_s,1538.19
mean_TTFT_ms,2280.1
median_TTFT_ms,2286.8
p99_TTFT_ms,3582.0
mean_TPOT_ms,89.63
median_TPOT_ms,89.67
p99_TPOT_ms,112.94
mean_ITL_ms,89.63
median_ITL_ms,69.34
p99_ITL_ms,870.16
